year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2018,338,0,21.63,7.71
2018,339,7.77,13.76,6.7
2018,340,29.07,13.37,10.46
2018,341,0,20.71,8.99
2018,342,0,22.53,7.29
2018,343,0,22.83,8.54
2018,344,0,19.72,10.28
2018,345,0,21.52,9.25
2018,346,0,19.52,6.97
2018,347,0,25.36,7.29
2018,348,0,20.25,9.29
2018,349,0,24.39,8.09
2018,350,0,23.4,6.76
2018,351,0,19.52,10.11
2018,352,0,20.22,9.89
2018,353,0,24.61,8.53
2018,354,0,26.75,9.31
2018,355,0,22.03,9.88
